Material,Category,Unit,Embodied Carbon,Density,Common use,Comment,
Concrete block,Concrete and Plaster Products,kg,0.24,1400,"External walls, internal walls,landscaping","Concrete blocks (also known as concrete masonry units or CMU)
are precast rectangular shaped blocks manufactured from concrete. Blocks are typically used for internal and external walls in both
domestic and commercial construction and can be used with or
without mortar for loadbearing and non-loadbearing applications.",
Cement mortar,Concrete and Plaster Products,kg,0.35,1858,"Bonding masonry walls, pointing, render","Cement mortar contains Portland cement, sand and hydrated lime. It is used as a bonding layer for bricks, masonry blocks and stonework.",
Portland cement,Concrete and Plaster Products,kg,1.3,1500,"Concrete, fibre cement sheet, fibre
cement weatherboard, cement
mortar, cement render","Portland cement (also known as common or general-purpose
cement) is manufactured from limestone, clay and gypsum. A range
of additional minerals or additives can be added to control the
properties of the finished cement.",
Autoclaved aerated concrete (AAC),Concrete and Plaster Products,kg,0.71,550,"External walls, internal walls, floors","Autoclaved Aerated Concrete, also known as AAC, is a lightweight
concrete product manufactured from cement, water, aluminium
powder and sand. Hydrogen gas is used to create air bubbles in the
mix. AAC is generally rated at 8 MPa, with up to 80% of its volume
made up of air",
Concrete 20 Mpa,Concrete and Plaster Products,m³,328,,"Floor slabs, suspended slabs,
driveways, precast wall panels","Concrete is one of the most commonly used construction materials.
It is highly durable and is thus typically used for structural elements in
buildings and infrastructure projects. Concrete can be manufactured
to meet a variety of strength grades. Concrete 20 MPa is commonly
used in domestic floor construction, garage floors and driveways,
where the loads supported are lighter. ",
Concrete 25 MPa,Concrete and Plaster Products,m³,361,,"Floor slabs, suspended slabs,
driveways, precast wall panels","Concrete 25 MPa is commonly
used in domestic and commercial floor construction and is
considered to be a multi-purpose concrete mix. ",
Concrete 32 MPa,Concrete and Plaster Products,m³,416,,"Floor slabs, suspended slabs,
precast wall panels, in situ
loadbearing walls, structural piling,
roads, footpaths","Concrete 32 MPa is commonly
used in commercial and civil construction, for structural piling, floor
slabs, external walls, paths and roads, where increased durability,
weather-resistance and load-bearing capacity are required",
Concrete 40 MPa,Concrete and Plaster Products,m³,497,,"Structural beams, structural
columns, in situ loadbearing walls,
structural piling","Concrete 40 MPa is commonly
used in commercial and civil construction, for structural beams and
columns, where increased durability and load-bearing capacity are
required",
Concrete 50 MPa,Concrete and Plaster Products,m³,600,,"Structural beams, structural
columns, in situ loadbearing walls,
structural piling, Strong","Concrete 50 MPa is commonly
used in commercial and civil construction where high strength and
durability are required. The mix will generally have a lower water to
cement ratio than standard concrete.",
Fibre cement weatherboard,Fibre cement,kg,2.2,1445,External wall cladding,"Fibre cement weatherboards are used as an external wall cladding.
Each board is installed to overlap the board below, and as such, the
effective wall coverage area is typically 80-90% of the actual area of
boards used",
Fibre cement sheet,Fibre cement,kg,1.6,1445,"Internal wall lining, external wall
cladding, soffit lining, structural
bracing","Fibre cement sheet is often used as a replacement for plasterboard,
particularly in situations that are exposed to water (such as wet
areas). It can be used for both residential and commercial buildings
in a range of applications, including internal and external cladding,
soffit linings and structural bracing.",
Gypsum plaster,Plaster,kg,0.44,1956,"Decorative building elements,
plasterboard, plaster cornices, filling
gaps, wall finish","Gypsum plaster is often used to simulate other materials, such as
timber, metal and stone, due to its ability to be formed into any shape,
which can be easily sanded. It is also a core material for plasterboard
and other plaster-based products, such as cornices. Alternative forms
of plaster include lime and cement-based plasters",
Plasterboard - 10 mm,Plaster,m²,5.8,,"Internal wall lining, internal ceiling
lining","Plasterboard, also known as gypsum board, is a wall and ceiling lining
material manufactured from gypsum, water and paper. Plasterboard is used to provide a lining for internal walls and ceilings.
A variety of product types are available, including acoustic-rated, fire-
rated and moisture-resistant plasterboard. It is typically finished with
paint once installed. ",
Concrete roof tile,Tiles,kg,0.39,2100,Roof cladding,"Concrete roof tiles are a roof cladding material manufactured from
concrete .Concrete roof
tiles are typically used in domestic construction where the roof pitch
is at least 15 degrees",
Double glazing - flat glass,Flat glass,m²,101,,Windows,"The double glazed system is typically used to improve the acoustic or
thermal performance of a window. The thickness of each glass pane
generally ranges from 3 to 10 mm and the gas-filled cavity typically
ranges from 6 to 12 mm",
Flat glass,Glass,kg,2,2600,"Windows, skylights, internal
partitions, doors","Flat glass is commonly used in buildings to provide daylight and
views. It is used for windows, glass doors and transparent walls.",
Laminated glass,Laminated glass,kg,2.8,2600,"Windows, doors, partitions,
skylights, ballustrades","Laminated glass is commonly used for windows, glass doors and
transparent walls, where there is an increased chance of damage, as
when broken, the glass remains intact, held together by the PVB layer.
It provides added safety, security, thermal and acoustic properties
over flat glass. ",
Double glazing - toughened glass,Toughened glass,m²,115,,"Windows, doors, skylights, internal
partitions","The double glazed system is typically used to improve the acoustic or
thermal performance of a window. The thickness of each glass pane
generally ranges from 3 to 10 mm and the gas-filled cavity typically
ranges from 6 to 12 mm.
The same glass thickness is usually used for both panes, but in some
circumstances the thickness may vary. Laminated or flat glass can also
be used in place of toughened glass. Toughened glass is used where
additional strength is required or there is increased risk of damage.
Various coatings (such as low-e) can also be applied to the glass
surfaces to improve its thermal, acoustic or privacy characteristics",
Toughened glass,Toughened glass,kg,2.2,2600,"Windows, doors, partitions,
skylights, ballustrades, shower
screens","Toughened glass is commonly used for windows, glass doors,
balustrades, shower screens and pool fences. It provides added
safety over flat glass as when broken, the glass shatters into small
even pieces",
Cellulose insulation,Cellulose,kg,0.79,50,Insulation,"Cellulose insulation is mostly used in roofs and walls and is typically
blown.Cellulose is an organic compound that constitutes the primary cell
wall of green plants and is the most abundant polymer on Earth",Low carbon alternative
Aluminium foil insulation,insulation,m²,1.9,,Aluminium foil insulation (custom),"Aluminium insulation foils provide a barrier to
light, infrared radiation and sometimes air, moisture and bacteria,
depending on perforation and treatment.Aluminium insulation foil is commonly installed in cavities to reflect
infrared radiation and trap heat inside or outside of a building
(depending on its placement).",
Glasswool insulation,insulation,kg,4,25,insulation,"This results in a low density and low thermal
conductivity (0.04 W/(m·K)), which is ideal for insulation materials/ Glasswool insulation is widely used in the construction industry as an
insulation material.",
Rockwool insulation,insulation,kg,3.8,70,insulation,"Rockwool insulation is widely used in the construction industry as
thermal insulation. It has a high fire resistance depending on the
constituting material,Rockwool, also called mineral wool, is made by spinning or drawing
molten rock materials into fibres. The resulting fibrous material has a
very low density and low thermal conductivity ",
Polystyrene (EPS/XPS) insulation,Polystyrene,kg,8,23,Insulation,"PS insulation is widely used in the construction industry. EPS is used
in walls and on roofs that do not require stepping onto. XPS, with
its increased compressive strengths, can be stepped upon and is
therefore more common on roofs",
Polyurethane (PU) rigid foam insulation,Polyurethane,kg,17.5,30,insulation,"Polyurethane (PU) is a polymer with a low density, low thermal
conductivity and high durability.PU insulation consists of rigid foam panels that are used for high-
performance insulation.",
Aluminium bar,Aluminium,kg,29.6,2712,"Finishes, ventilation grilles","Aluminium is commonly used as a construction material, notably as
cladding, structural and window framing, and as a thermal reflector.
Aluminium bars are typically extruded and can be used as a finishing
product (flat bars) and as ventilation grilles. It is durable, corrosion resistant,
a good reflector of both visible and infrared radiation, and highly
recyclable",
Aluminium composite panel,Aluminium,m²,102,1900,Cladding,"Aluminium composite panels are typically used as cladding. The
panel specified here is 4 mm thick",
Aluminium extruded,Aluminium,kg,29.4,2712,"Window frames, profiles","Aluminium is commonly used as a construction material, notably as
cladding, structural and window framing, and as a thermal reflector.
Extruded aluminium is commonly used for window frames, profiles
for tracks, frames and rails, and mullions.",
Aluminium angle extruded,Aluminium,kg,32.7,2712,"Window frames, profiles",Variation of Aluminium extruded,
Aluminium extruded powdercoated,Aluminium,kg,33.6,2712,"Window frames, profiles",Variation of Aluminium extruded,
