Name,Category,Category,Locked,Deletable,Id,Family and Type,Family,Type,Family Name,Type Id,PLR_Asset_Name,PLR_Location_Code,PLR_Instance_Number,PLR_Parent_Uniclass_ID,PLR_Parent_Uniclass_Descr.,Image,Keynote,Design Option,Design Option,Model,Manufacturer,Comments,URL,Description,Assembly Description,Assembly Code,Edited by,Workset,Type Name,Cost,Mark,Properties,Subclass,Class,Grade,Species,Thermal expansion coefficient,Bending,Shear modulus,Poisson ratio,Tension perpendicular to grain,Shear parallel to grain,Compression perpendicular to grain,Compression parallel to grain,Young modulus,Material Type,Name,Lightweight,Behavior,Resistance calculation strength,Reduction factor for shear,Minimum tensile strength,Minimum yield stress,Shear strength modification,Shear reinforcement yield stress,Bending reinforcement,Concrete compression,Thermal expansion coefficient Z,Thermal expansion coefficient Y,Thermal expansion coefficient X,Unit weight,Shear modulus Z,Shear modulus Y,Shear modulus X,Poisson ratio Z,Poisson ratio Y,Poisson ratio X,Young modulus Z,Young modulus Y,Young modulus X,Shininess,Smoothness,Glow,Transparency,Color,Phase Demolished,Phase Created
Default,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,23,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,PNT-101,Revit Element : <None>,Main Model,,,,,DEFAULT,,,,10,,0,,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,Default,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,64,50,FALSE,0,"215,231,232",Revit Element : <None>,Revit Element : <None>
Default Wall,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,24,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,,Revit Element : <None>,Main Model,,,,,DEFAULT WALL,,,,10,,0,,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,Default Wall,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,64,50,FALSE,0,"250,245,165",Revit Element : <None>,Revit Element : <None>
Default Roof,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,25,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,,Revit Element : <None>,Main Model,,,,,DEFAULT ROOF,,,,10,,0,,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,Default Roof,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,64,50,FALSE,0,"240,240,240",Revit Element : <None>,Revit Element : <None>
COX - G - Glass,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,26,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,GLS-100,Revit Element : <None>,Main Model,,,,,GLASS,,,,10,,0,G,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,COX - G - Glass,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,12,50,FALSE,95,"190,241,252",Revit Element : <None>,Revit Element : <None>
Phase-Demo,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,27,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,,Revit Element : <None>,Main Model,,,,,PHASE-DEMO,,,,10,,0,,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,Phase-Demo,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,64,50,FALSE,40,"255,0,0",Revit Element : <None>,Revit Element : <None>
Phase-Exist,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,28,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,,Revit Element : <None>,Main Model,,,,,PHASE-EXISTING,,,,10,,0,,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,Phase-Exist,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,64,50,FALSE,0,"214,214,214",Revit Element : <None>,Revit Element : <None>
Phase-Temp,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,29,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,,Revit Element : <None>,Main Model,,,,,PHACE-TEMP,,,,10,,0,,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,Phase-Temp,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,64,50,FALSE,40,"0,0,127",Revit Element : <None>,Revit Element : <None>
COX - BK - Brick,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,414,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,BK,Revit Element : <None>,Main Model,,,,,BRICK,,,,10,,0,BK,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,COX - BK - Brick,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,128,50,FALSE,0,"123,115,87",Revit Element : <None>,Revit Element : <None>
COX - CB - Concrete Block,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,415,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,CB,Revit Element : <None>,Main Model,,,,,CONCRETE BLOCK,,,,10,,0,CB,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,COX - CB - Concrete Block,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,128,50,FALSE,0,"214,214,209",Revit Element : <None>,Revit Element : <None>
Metal - Stud Layer,Revit Category : Materials : id -2000700,Revit Category : Materials : id -2000700,FALSE,TRUE,416,Revit Element : <None>,Revit Element : <None>,Revit Element : <None>,,-1,,,,,,,,Revit Element : <None>,Main Model,,,Rendering appearance not upgraded ,,Metal Stud,,,,10,,0,,-1,,0,Standard,Douglas Fir (West),0,87000,76.9,0.3,2.4,8.9,5200,51200,199.95,0,Metal - Stud Layer,FALSE,0,0.34,1.66,0.45,0.34,1,0.41,0.41,0.03,0,0,0,0,76.9,76.9,76.9,0.3,0.3,0.3,199.95,199.95,199.95,64,50,FALSE,0,"127,127,127",Revit Element : <None>,Revit Element : <None>
