Prompt,Output,Functional unit,Embodied GHG,Density,Link,Source,,
 Default ,,,,,,,,
 Default Roof ,,,,,,,,
 Phase-Demo ,,,,,,,,
 Phase-Temp ,,,,,,,,
 Default Light Source ,,,,,,,,
 System-Zones ,,,,,,,,
 Copper , Copper ,kg,15.1,8940,http://doi.org/10.26188/5da55308b9bbe,EPIC,,
" Polyvinyl Chloride, Rigid "," Polyvinyl Chloride, Rigid ",m²,0.39,,http://doi.org/10.26188/5da5571457bf1,EPIC,,
" Steel, Carbon ",,,,,,,,
 Phase-New ,,,,,,,,
 Default Floor Area Face ,,,,,,,,
 P1 ,,,,,,,,
 Timber Lining (Cox) ,Cross laminated timber (CLT),m³,645,,http://doi.org/10.26188/5da55346af5dc,EPIC,,
 Gabian (Cox) ,,,,,,,,
 Plasterboard Impact (Cox) ,Plasterboard - 10 mm,m²,5.8,,http://doi.org/10.26188/5da556516b6e3,EPIC,,
 Generic Wall (Cox) ,,,,,,,,
 Blockwork (Cox) ,Concrete block,kg,0.24,1400,http://doi.org/10.26188/5da552ea39cdc,EPIC,,
 Metal Stud (Cox) ,,,,,,,,
 Air Gap (Cox) ,,,,,,,,
 Fence Chainwire (Cox) ,,,,,,,,
 Tiles 100 x 100 (Cox) ,Ceramic tile,kg,1.3,2900,http://doi.org/10.26188/5da5529e3a6be,EPIC,,
 Tiles 100 x 200 (Cox) ,Ceramic tile,kg,2.6,2900,http://doi.org/10.26188/5da5529e3a6be,EPIC,,
 Paint Matte Black (Cox) ,Solvent-based paint - per m²,m²,0.47,,http://doi.org/10.26188/5da557baa95ce,EPIC,,
 Plasterboard Acoustic Rated (Cox) ,Gypsum plaster,kg,0.44,1956,http://doi.org/10.26188/5da554d7d6197,EPIC,,
 Metal-Aluminium-Anodised-Clear ,Aluminium extruded powdercoated,kg,33.6,2712,http://doi.org/10.26188/5da551b3248d5,EPIC,,
 Glass Clear Blue (Cox) ,Double glazing - flat glass,m²,101,,http://doi.org/10.26188/5da55375f3452,EPIC,,
 GLCL1 ,,,,,,,,
 TMBR1 ,,,,,,,,
 Glass Clear White (Cox) ,Double glazing - flat glass,m²,101,,http://doi.org/10.26188/5da55375f3452,EPIC,,
 Timber Flooring - 100mm Board ,Hardwood kiln-dried - dressed,m³,2 269,,http://doi.org/10.26188/5da554ea370a5,EPIC,,
 Timber Flooring - Pattern 02 ,Hardwood kiln-dried - dressed,m³,2 269,,http://doi.org/10.26188/5da554ea370a5,EPIC,,
 Timber Flooring - Pattern 04 ,Hardwood kiln-dried - dressed,m³,2 269,,http://doi.org/10.26188/5da554ea370a5,EPIC,,
 Roofing - Lysaght Custom Orb ,Steel sheet corrugated - per square metre,m²,17.9,,http://doi.org/10.26188/5da5584b06f9b,EPIC,,
 Roofing - Lysaght Intergrity ,Steel sheet corrugated - per square metre,m²,17.9,,http://doi.org/10.26188/5da5584b06f9b,EPIC,,
 Roofing - Lysaght Longline 305 ,Steel sheet corrugated - per square metre,m²,17.9,,http://doi.org/10.26188/5da5584b06f9b,EPIC,,
 Roofing - Lysaght Trimdek ,Steel sheet corrugated - per square metre,m²,17.9,,http://doi.org/10.26188/5da5584b06f9b,EPIC,,
 Roofing - Lysaght Panelrib ,Steel sheet corrugated - per square metre,m²,17.9,,http://doi.org/10.26188/5da5584b06f9b,EPIC,,
 Generic ,,,,,,EPIC,,
 Steel ,Cold rolled stainless steel,kg,9.2,7740,http://doi.org/10.26188/5dd09ea396b11,EPIC,,
 Concrete - Cast In Situ ,Concrete 20 MPa,m³,328,,http://doi.org/10.26188/5da54a205d0e5,EPIC,,
 Site - Earth (Cox) ,,,,,,,,
 Render Material 255-255-255 ,,,,,,,,
 Acoustic Ceiling Tile 24 x 48 ,Clay roof tile,kg,0.61,1860,http://doi.org/10.26188/5da552bc24123,EPIC,,
" Acrylic, Clear ",Polymethyl methacrylate (PMMA),kg,15.4,1190,http://doi.org/10.26188/5da556a82dd9d,EPIC,,
 Aluminum ,Aluminium composite panel,m²,102,,http://doi.org/10.26188/5da551a4afce4,EPIC,,
