,Unnamed: 0,Material,Functional unit,Embodied Energy (MJ),Embodied Water (L),Embodied Greenhouse Gas Emissions (kgCO₂e),More information,embeddings,similarities
0,0,Concrete block,kg,2.6,3.7,0.24,http://doi.org/10.26188/5da552ea39cdc,"[-0.02012964 -0.00244274 -0.02805059 ... -0.01747151 -0.02050365
 -0.02630077]",0.8494958350094526
1,1,Concrete block - 390 × 190 × 90 mm,no.,24.3,34.2,2.2,http://doi.org/10.26188/5da552ea39cdc,"[-0.0050629   0.0063702  -0.01457908 ... -0.01000845 -0.02285968
 -0.03638249]",0.795690895262188
2,2,Concrete block - 390 × 190 × 140 mm,no.,29.6,41.6,2.7,http://doi.org/10.26188/5da552ea39cdc,"[-0.00464854  0.00849202 -0.01768522 ... -0.0082518  -0.01800984
 -0.03768172]",0.7953011314728576
3,3,Concrete block - 390 × 190 × 190 mm,no.,35.2,49.4,3.2,http://doi.org/10.26188/5da552ea39cdc,"[-0.00434036  0.00813735 -0.0119278  ... -0.01095237 -0.02312239
 -0.03975062]",0.7964120688087566
4,4,Cement mortar,kg,3.9,3.7,0.35,http://doi.org/10.26188/5da5528f75432,"[-0.01280385  0.01461822 -0.00010472 ... -0.03313634 -0.00857464
  0.00769006]",0.8189185262580819
5,5,Portland cement,kg,11.8,7.8,1.3,http://doi.org/10.26188/5da55701cee5d,"[ 0.0078209   0.00265112 -0.00016046 ... -0.01086609 -0.01749307
 -0.00492999]",0.806326901312613
6,6,Autoclaved aerated concrete (AAC),kg,8.5,8.4,0.71,http://doi.org/10.26188/5da551fc254d7,"[-0.00465158  0.0014236  -0.00322551 ... -0.01717203 -0.02148807
 -0.01379026]",0.8153409796871279
7,7,AAC block - 600 × 200 × 100 mm,no.,56.4,55.4,4.7,http://doi.org/10.26188/5da551fc254d7,"[ 0.00228782  0.00396621  0.0013199  ... -0.01990603 -0.02225252
 -0.01154341]",0.7675767238019084
8,8,AAC block - 600 × 200 × 150 mm,no.,84.5,83,7,http://doi.org/10.26188/5da551fc254d7,"[ 0.0031475   0.00906196  0.00201717 ... -0.02012336 -0.01762084
 -0.01355747]",0.7647744668613494
9,9,AAC block - 600 × 200 × 200 mm,no.,113,111,9.4,http://doi.org/10.26188/5da551fc254d7,"[ 0.00344944  0.00598206  0.00129313 ... -0.01816726 -0.01958475
 -0.01041659]",0.7703314629935253
10,10,Concrete 20 MPa,m³,2 404,4 154,328,http://doi.org/10.26188/5da54a205d0e5,"[ 0.00157918  0.00577481 -0.00351569 ... -0.0038002  -0.02274699
 -0.01637946]",0.8286390398669798
11,11,Concrete 20 MPa - 30% fly ash,m³,2 026,4 011,251,http://doi.org/10.26188/5da54a205d0e5,"[-0.00111679  0.01500168 -0.00424381 ... -0.00299534 -0.02237584
 -0.02686968]",0.8093521141117395
12,12,Concrete 20 MPa - 30% GGBFS,m³,2 186,4 034,263,http://doi.org/10.26188/5da54a205d0e5,"[ 0.00866437  0.01441388 -0.01307678 ... -0.01418657 -0.01537658
 -0.02033721]",0.8136824974972683
13,13,Concrete 25 MPa,m³,2 581,4 196,361,http://doi.org/10.26188/5da54a4ae57a1,"[-0.00854715  0.0053861  -0.00484982 ... -0.00676843 -0.01890631
 -0.02073166]",0.8239467157116445
14,14,Concrete 25 MPa - 30% fly ash,m³,2 241,4 028,277,http://doi.org/10.26188/5da54a4ae57a1,"[-0.00933068  0.01429155 -0.00315118 ... -0.0079095  -0.01990989
 -0.03206302]",0.8091169704777939
15,15,Concrete 25 MPa - 30% GGBFS,m³,2 441,4 105,293,http://doi.org/10.26188/5da54a4ae57a1,"[ 0.00033244  0.01281896 -0.01325778 ... -0.01857685 -0.01249317
 -0.02378954]",0.8118036223722608
16,16,Concrete 32 MPa,m³,3 015,4 300,416,http://doi.org/10.26188/5da550538b369,"[ 0.01359199  0.00785107 -0.01481788 ... -0.00161778 -0.02609877
 -0.0100282 ]",0.8253954314503575
17,17,Concrete 32 MPa - 30% fly ash,m³,2 484,4 066,314,http://doi.org/10.26188/5da550538b369,"[ 0.00602364  0.01355236 -0.01088851 ... -0.00050863 -0.02417449
 -0.0210045 ]",0.8047005287284938
18,18,Concrete 32 MPa - 30% GGBFS,m³,2 704,4 103,331,http://doi.org/10.26188/5da550538b369,"[ 0.0158432   0.01306029 -0.02208971 ... -0.00977687 -0.01768512
 -0.01285341]",0.8068831024709117
19,19,Concrete 40 MPa,m³,3 476,4 355,497,http://doi.org/10.26188/5da5507e33fe6,"[ 0.00181064  0.00363809 -0.01338226 ... -0.00143489 -0.01909831
 -0.01244752]",0.828516786515439
20,20,Concrete 40 MPa - 30% fly ash,m³,2 854,4 075,373,http://doi.org/10.26188/5da5507e33fe6,"[-0.00130734  0.01224067 -0.00818482 ... -0.00048122 -0.01828454
 -0.02260634]",0.8060166990598414
21,21,Concrete 40 MPa - 30% GGBFS,m³,3 106,4 120,392,http://doi.org/10.26188/5da5507e33fe6,"[ 0.00699633  0.01289781 -0.01859902 ... -0.01100186 -0.01188975
 -0.01705021]",0.8103063307424113
22,22,Concrete 50 MPa,m³,3 998,4 365,600,http://doi.org/10.26188/5da5514c0eea5,"[ 0.00036729  0.00046731 -0.02183921 ... -0.00722819 -0.01853105
 -0.00892933]",0.8264035988313266
23,23,Concrete 50 MPa - 30% fly ash,m³,3 634,4 246,467,http://doi.org/10.26188/5da5514c0eea5,"[-0.00115681  0.01080569 -0.01557876 ... -0.00404716 -0.02108104
 -0.02489949]",0.8060937864017765
